SensorValue
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 2, Percentage: 1"
"Sensor Value: 3, Percentage: 1"
"Sensor Value: 27, Percentage: 13"
"Sensor Value: 24, Percentage: 12"
"Sensor Value: 43, Percentage: 21"
"Sensor Value: 98, Percentage: 49"
"Sensor Value: 102, Percentage: 51"
"Sensor Value: 49, Percentage: 24"
"Sensor Value: 3, Percentage: 1"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 2, Percentage: 1"
"Sensor Value: 8, Percentage: 4"
"Sensor Value: 26, Percentage: 13"
"Sensor Value: 50, Percentage: 25"
"Sensor Value: 79, Percentage: 39"
"Sensor Value: 84, Percentage: 42"
"Sensor Value: 93, Percentage: 46"
"Sensor Value: 95, Percentage: 47"
"Sensor Value: 117, Percentage: 58"
"Sensor Value: 125, Percentage: 62"
"Sensor Value: 115, Percentage: 57"
"Sensor Value: 123, Percentage: 61"
"Sensor Value: 136, Percentage: 68"
"Sensor Value: 140, Percentage: 70"
"Sensor Value: 143, Percentage: 71"
"Sensor Value: 144, Percentage: 72"
"Sensor Value: 145, Percentage: 72"
"Sensor Value: 147, Percentage: 73"
"Sensor Value: 150, Percentage: 75"
"Sensor Value: 152, Percentage: 76"
"Sensor Value: 154, Percentage: 77"
"Sensor Value: 153, Percentage: 76"
"Sensor Value: 131, Percentage: 65"
"Sensor Value: 135, Percentage: 67"
"Sensor Value: 60, Percentage: 30"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 2, Percentage: 1"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 1, Percentage: 0"
"Sensor Value: 5, Percentage: 2"
"Sensor Value: 12, Percentage: 6"
"Sensor Value: 25, Percentage: 12"
"Sensor Value: 49, Percentage: 24"
"Sensor Value: 58, Percentage: 29"
"Sensor Value: 70, Percentage: 35"
"Sensor Value: 64, Percentage: 32"
"Sensor Value: 68, Percentage: 34"
"Sensor Value: 57, Percentage: 28"
"Sensor Value: 24, Percentage: 12"
"Sensor Value: 12, Percentage: 6"
"Sensor Value: 14, Percentage: 7"
"Sensor Value: 29, Percentage: 14"
"Sensor Value: 38, Percentage: 19"
"Sensor Value: 65, Percentage: 32"
"Sensor Value: 101, Percentage: 50"
"Sensor Value: 143, Percentage: 71"
"Sensor Value: 158, Percentage: 79"
"Sensor Value: 163, Percentage: 81"
"Sensor Value: 165, Percentage: 82"
"Sensor Value: 171, Percentage: 85"
"Sensor Value: 171, Percentage: 85"
"Sensor Value: 170, Percentage: 85"
"Sensor Value: 174, Percentage: 87"
"Sensor Value: 182, Percentage: 91"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 189, Percentage: 94"
"Sensor Value: 191, Percentage: 95"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 200, Percentage: 100"
"Sensor Value: 155, Percentage: 77"
"Sensor Value: 95, Percentage: 47"
"Sensor Value: 70, Percentage: 35"
"Sensor Value: 61, Percentage: 30"
"Sensor Value: 55, Percentage: 27"
"Sensor Value: 63, Percentage: 31"
"Sensor Value: 71, Percentage: 35"
"Sensor Value: 86, Percentage: 43"
"Sensor Value: 94, Percentage: 47"
"Sensor Value: 104, Percentage: 52"
"Sensor Value: 111, Percentage: 55"
"Sensor Value: 116, Percentage: 58"
"Sensor Value: 123, Percentage: 61"
"Sensor Value: 157, Percentage: 78"
"Sensor Value: 126, Percentage: 63"
"Sensor Value: 71, Percentage: 35"
"Sensor Value: 36, Percentage: 18"
"Sensor Value: 24, Percentage: 12"
"Sensor Value: 28, Percentage: 14"
"Sensor Value: 25, Percentage: 12"
"Sensor Value: 21, Percentage: 10"
"Sensor Value: 14, Percentage: 7"
"Sensor Value: 17, Percentage: 8"
"Sensor Value: 15, Percentage: 7"
"Sensor Value: 18, Percentage: 9"
"Sensor Value: 17, Percentage: 8"
"Sensor Value: 13, Percentage: 6"
"Sensor Value: 10, Percentage: 5"
"Sensor Value: 19, Percentage: 9"
"Sensor Value: 25, Percentage: 12"
